"DataSet","Subject","Condition","TrialNum","Inducer","Concurrent","Comparison","Response","Magnitude","LitReview","Affect"
"Pilot","0BwAB3cQny","Noise-Shape-Speed",1,"Affect EB","Noise","Affect EB-Noise",0,0,0,1
"Pilot","0BwAB3cQny","Noise-Shape-Speed",2,"Noise","Speed","Noise-Speed",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",3,"Brightness","Speed","Brightness-Speed",1,1,1,1
"Pilot","0BwAB3cQny","Noise-Shape-Speed",4,"Amp","Speed","Amp-Speed",1,1,1,1
"Pilot","0BwAB3cQny","Noise-Shape-Speed",5,"Noise","Speed","Noise-Speed",1,1,1,1
"Pilot","0BwAB3cQny","Noise-Shape-Speed",6,"Noise","Pitch","Noise-Pitch",1,1,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",7,"Brightness","Speed","Brightness-Speed",1,1,1,1
"Pilot","0BwAB3cQny","Noise-Shape-Speed",8,"Brightness","Shape","Brightness-Shape",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",9,"Shape","Brightness","Brightness-Shape",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",10,"Amp","Shape","Amp-Shape",1,1,1,1
"Pilot","0BwAB3cQny","Noise-Shape-Speed",11,"Color RY","Noise","Color RY-Noise",1,1,1,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",12,"Pitch","Noise","Noise-Pitch",1,1,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",13,"Color RY","Shape","Color RY-Shape",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",14,"Amp","Noise","Amp-Noise",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",15,"Speed","Pitch","Pitch-Speed",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",16,"Speed","Noise","Noise-Speed",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",17,"Color RY","Speed","Color RY-Speed",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",18,"Shape","Noise","Noise-Shape",0,0,0,1
"Pilot","0BwAB3cQny","Noise-Shape-Speed",19,"Noise","Brightness","Brightness-Noise",0,0,0,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",20,"Size","Shape","Shape-Size",0,0,1,0
"Pilot","0BwAB3cQny","Noise-Shape-Speed",21,"Brightness","Shape","Brightness-Shape",0,0,0,0
